listing id,address,latitude,longitude,price,bedrooms,bathrooms,size,availability date,housing type,laundry,parking,cats are OK - purrr,dogs are OK - wooof,furnished,no smoking,wheelchair accessible,EV charging,link,read date,last scrape date
7045409783,1st St near Oak St,45.435134,-123.140246,$1100,2,1,708,,apartment,laundry in bldg,off-street parking,True,True,,,,,https://portland.craigslist.org/yam/apa/d/gaston-2-bedroom-apartment/7045409783.html,2019-12-27 14:14:41.313891,2019-12-27 15:00:15.978485
7045409739,47th Ave near Sandy,45.537300,-122.598700,$1795,3,2,1200,,apartment,laundry on site,off-street parking,,,,,,,https://portland.craigslist.org/mlt/apa/d/portland-rare-3-bdr-2-bath-in-the/7045409739.html,2019-12-27 14:14:44.446157,2019-12-27 15:00:15.978485
7045409712,19100 E Burnside St,45.514200,-122.498500,$0,2,2,1010,2019-12-27,apartment,w/d in unit,off-street parking,True,True,,True,,,https://portland.craigslist.org/mlt/apa/d/portland-super-cozy-homes-available-for/7045409712.html,2019-12-27 14:14:50.410040,2019-12-27 15:00:15.978485
7045409607,"1250 E Burnside St Portland, OR",45.514200,-122.636400,$2115,2,2,911,,apartment,w/d in unit,attached garage,True,True,,True,,,https://portland.craigslist.org/mlt/apa/d/portland-modern-two-bedroom-apartment/7045409607.html,2019-12-27 14:14:55.848834,2019-12-27 15:00:15.978485
7042571938,11510 Northeast 112th Drive,45.691400,-122.580500,$1120,1,1,747,,apartment,,,,,,,,,https://portland.craigslist.org/clk/apa/d/vancouver-start-2020-off-right-with/7042571938.html,2019-12-27 14:15:00.211241,2019-12-27 15:00:15.978485
7045409550,426 NE 75th Avenue,45.525789,-122.585829,$1595,2,1,800,2020-01-01,apartment,laundry in bldg,street parking,True,True,,,,,https://portland.craigslist.org/mlt/apa/d/portland-off-1st-mo-rent-15-bath/7045409550.html,2019-12-27 14:15:06.358816,2019-12-27 15:00:15.978485
7045409524,1447 NW 12th Avenue near Pettygrove Street,45.533256,-122.683523,$2411,2,2,920,,apartment,w/d in unit,attached garage,True,True,,True,,,https://portland.craigslist.org/mlt/apa/d/portland-industrial-cement-finishes/7045409524.html,2019-12-27 14:15:11.568420,2019-12-27 15:00:15.978485
7045409494,1880 SW 5th Street,45.510377,-122.682142,$1195,1,1,550,2019-12-30,apartment,laundry in bldg,,True,True,,True,,,https://portland.craigslist.org/mlt/apa/d/portland-hardwood-floors-clawfoot-tubs/7045409494.html,2019-12-27 14:15:15.468257,2019-12-27 15:00:15.978485
7045409331,1200 NW Marshall near 12th Ave,45.530781,-122.683422,$1714,0,1,,2019-12-27,apartment,w/d in unit,attached garage,True,True,,True,,,https://portland.craigslist.org/mlt/apa/d/portland-spacious-studio-apartment-with/7045409331.html,2019-12-27 14:15:19.311720,2019-12-27 15:00:15.978485
7045408417,2270 NW Savier Street,45.534812,-122.696980,$1429,0,1,511,2019-12-27,apartment,w/d in unit,attached garage,True,True,,True,,True,https://portland.craigslist.org/mlt/apa/d/portland-beautiful-studio-dont-wait/7045408417.html,2019-12-27 14:15:25.187735,2019-12-27 15:00:15.978485
